ENTREZID,ENSEMBL,SYMBOL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
6940,ENSG00000169131,ZNF354A,zinc finger protein 354A,-0.716130187,3.361538823,-8.408395518,0.000447229,0.004980031,0.075822382
80817,ENSG00000164118,CEP44,centrosomal protein 44,-1.261300723,3.998435471,-8.40684839,0.000447608,0.004982288,-0.023520787
6274,ENSG00000188015,S100A3,S100 calcium binding protein A3,2.472901371,0.20281833,8.403823782,0.000448348,0.004988574,0.699619889
84000,ENSG00000137747,TMPRSS13,transmembrane serine protease 13,0.713282286,5.163843029,8.402710812,0.000448621,0.004989654,-0.19471851
7322,ENSG00000131508,UBE2D2,ubiquitin conjugating enzyme E2 D2,0.708294689,6.875560547,8.400624519,0.000449133,0.004993392,-0.309247974
2297,ENSG00000251493,FOXD1,forkhead box D1,2.186272716,2.596982968,8.39383859,0.000450803,0.005009996,0.291020601
414919,ENSG00000213563,C8orf82,chromosome 8 open reading frame 82,1.079763923,5.577286211,8.392598179,0.000451109,0.005011436,-0.233836017
118460,ENSG00000223496,EXOSC6,exosome component 6,0.600877648,3.918942903,8.38839748,0.000452147,0.005021006,-0.041171988
23527,ENSG00000114331,ACAP2,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",-0.889505521,6.500372992,-8.386826411,0.000452536,0.005023362,-0.299908022
286410,ENSG00000101974,ATP11C,ATPase phospholipid transporting 11C,-0.751626213,4.862962488,-8.383469493,0.000453369,0.005030637,-0.174312342
54554,ENSG00000196981,WDR5B,WD repeat domain 5B,-0.830037616,3.726303123,-8.382307104,0.000453657,0.005031875,-0.006081412
55324,ENSG00000161204,ABCF3,ATP binding cassette subfamily F member 3,0.763594728,5.850832648,8.380819145,0.000454027,0.005032465,-0.26600986
9540,ENSG00000115129,TP53I3,tumor protein p53 inducible protein 3,1.835309294,2.976632039,8.380667537,0.000454065,0.005032465,0.182950259
4047,ENSG00000160285,LSS,lanosterol synthase,1.980435787,3.57430713,8.379690666,0.000454308,0.005033195,0.068109627
100272228,ENSG00000235703,EOLA2-DT,EOLA2 divergent transcript,-2.565349355,1.951773756,-8.376783296,0.000455032,0.005039254,0.437390878
829,ENSG00000116489,CAPZA1,capping actin protein of muscle Z-line subunit alpha 1,-0.596825439,7.616588186,-8.375139073,0.000455443,0.005040199,-0.346548185
148189,ENSG00000261824,LINC00662,long intergenic non-protein coding RNA 662,-0.589994702,3.248066655,-8.36379903,0.000455603,0.005040199,0.071608887
79982,ENSG00000164031,DNAJB14,DnaJ heat shock protein family (Hsp40) member B14,-0.890294796,4.94644392,-8.374307867,0.00045565,0.005040199,-0.18731932
79730,ENSG00000179299,NSUN7,NOP2/Sun RNA methyltransferase family member 7,-0.417896827,4.385976529,-8.24976202,0.000455909,0.005041096,-0.149854609
56913,ENSG00000106392,C1GALT1,"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1",-0.663355738,5.236793143,-8.37154341,0.000456342,0.005043915,-0.222135447
79684,ENSG00000120458,MSANTD2,Myb/SANT DNA binding domain containing 2,-2.293892681,3.065572494,-8.368640214,0.000457069,0.005049987,0.187400915
196074,ENSG00000169519,METTL15,"methyltransferase 15, mitochondrial 12S rRNA N4-cytidine",-0.730134141,4.639482861,-8.365489977,0.000457859,0.005056755,-0.15936839
84319,ENSG00000184220,CMSS1,cms1 ribosomal small subunit homolog,-1.019364942,4.693216389,-8.361907918,0.00045876,0.005064737,-0.162780678
79085,ENSG00000125648,SLC25A23,solute carrier family 25 member 23,0.723446895,6.623348856,8.361170035,0.000458946,0.005064819,-0.324060464
246269,ENSG00000135537,AFG1L,AFG1 like ATPase,-0.532947677,2.569362956,-8.104822953,0.000459425,0.00506763,0.155679387
